"stop_id","pid","reason_for_stop","reason_for_stopcode","reason_for_stop_code_text","reason_for_stop_detail","reason_for_stop_explanation"
"1945","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1946","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1947","1","Traffic Violation","66424","24600(B) VC - TAILLAMP VIOL 2 LIGHTS (I) 66424","Equipment Violation","subject did not have a third light or license plate light"
"1948","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1949","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1950","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","stop sign violation"
"1951","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1952","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1953","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1954","1","Reasonable Suspicion","23132","487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132","Matched suspect description","possible suspect of a BOLO"
"1955","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","NO STOP AT STOP"
"1956","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Matched suspect description","5150 DANGER TO SELF"
"1957","1","Reasonable Suspicion","53072","415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072","Matched suspect description","Matched the description of a radio call."
"1958","1","Traffic Violation","54191","24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191","Moving Violation","DRIVE WITHOUT LIGHTS DURING DARKNESS"
"1959","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","NO STOP AT STOP"
"1960","1","Reasonable Suspicion","10016","207(A) PC - KIDNAPPING (F) 10016","Matched suspect description","207(A) PC - KIDNAPPING (F) 10016"
"1961","1","Traffic Violation","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881","Equipment Violation","No front plate"
"1962","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","NO STOP AT STOP"
"1963","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","DRIVER APPROACHED RED LIGHT AND DIDNT STOP..LIGHT WAS ALREADY RED"
"1964","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","UNSAFE SPEED"
"1965","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","exp reg"
"1966","1","Reasonable Suspicion","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139","Matched suspect description","subj was trespassing in apartement complex"
"1966","1","Reasonable Suspicion","32139","602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139","Officer witnessed commission of a crime","subj was trespassing in apartement complex"
"1967","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"1968","1","Traffic Violation","54185","22101(D) VC - FAIL TO OBEY TURN SIGNS (I) 54185","Moving Violation","left turn on right turn only sign"
"1969","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"1970","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1971","1","Traffic Violation","54122","21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122","Moving Violation","Did not stop at red light stated he thought he had enough time to catch yellow almost caused a tc."
"1972","1","Reasonable Suspicion","13048","242 PC - BATTERY ON PERSON (M) 13048","Matched suspect description","subject to radio call with a still and threatening"
"1973","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Equipment Violation","Fail to stop at limit line"
"1973","2","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","pass in car that passed limit line"
"1974","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1975","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Equipment Violation","vehicle with expired registration"
"1976","1","Traffic Violation","66943","21651(A)(1) VC - DRV HWY ACROSS DIV SECTN (I) 66943","Moving Violation","CROSS DIVIDED HIGHWAY"
"1977","1","Reasonable Suspicion","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Officer witnessed commission of a crime","smoking marijuana in public"
"1977","2","Reasonable Suspicion","35438","11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438","Officer witnessed commission of a crime","smoking mj in public"
"1978","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1979","1","Traffic Violation","54510","27152 VC - EXHAUST PIPE VIOLATION (I) 54510","Equipment Violation","MOD EXHAUST"
"1980","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"1981","1","Traffic Violation","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146","Moving Violation","Driver made right turn from left lane"
"1982","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1983","1","Consensual Encounter resulting in a search","","","","consent given"
"1984","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"1985","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","RED LIGHT VIOLATION"
"1986","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1987","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Equipment Violation","window tint and exp reg"
"1988","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1989","1","Traffic Violation","66947","21755(A) VC - USE SHLDER/ETC PASS RIGHT (I) 66947","Moving Violation","drive on shoulder"
"1990","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","Vehicle failed to stop at a red light"
"1991","1","Traffic Violation","66881","38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881","Equipment Violation","NO LICENSE PLATES ON VEHICLE"
"1992","1","Traffic Violation","66427","24600(E) VC - TAILLAMP VIOL COLOR/VISIB (I) 66427","Equipment Violation","no tail lights"
"1993","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Matched suspect description","SUBJECT TRACKING IN THE AREA BY FAMILY VIA AIR TAG. ELDERLY MALE DRIVING IN CIRCLES. I OBSERVED SUBJECT AND THEN WAS ABLE TO STOP HIM FOR WELFARE CHECK. FAMILY ABLE TO PICK UP ELDERLY MALE."
"1994","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1995","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","MAX SPEED 65 MPH"
"1996","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","SPEEDING"
"1997","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","Ran through red light"
"1998","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"1999","1","Reasonable Suspicion","53072","415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072","Matched suspect description","subject was detained pending investigation for 5150"
"2000","1","Reasonable Suspicion","32131","602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131","Witness or Victim identification of Suspect at the scene","trespass"
"2001","1","Reasonable Suspicion","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136","Matched suspect description","Used cane as a weapon"
"2002","1","Traffic Violation","66616","27362.1(A) VC - CHLD RESTRNT SEAT VIOL (I) 66616","Moving Violation","KID NOT SEATBELTED"
"2003","1","Traffic Violation","54644","5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644","Equipment Violation","NO REAR PLT"
"2004","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","hands free"
"2005","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","cell phone"
"2006","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","NARCOTICS USE"
"2007","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","encroachment"
"2008","1","Traffic Violation","54144","24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144","Equipment Violation","3rd brake light out"
"2008","2","Traffic Violation","54144","24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144","Equipment Violation","3rd Brake light out"
"2009","1","Traffic Violation","66314","22507.8(B) VC - OBSTRUCT/ETC PARKING STAL (I) 66314","Non-moving Violation, including Registration Violation","male was taking up 2 different stalls with large van"
"2010","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2011","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","NO STOP AT STOP"
"2012","1","Reasonable Suspicion","99999","NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999","Witness or Victim identification of Suspect at the scene","5150 hold"
"2013","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","stop sign"
"2014","1","Traffic Violation","54571","26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571","Equipment Violation","WINDOW TINT"
"2015","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","hands free"
"2016","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","Speeding"
"2017","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2018","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","MAX SPEED 65 MPH"
"2019","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","hands free"
"2020","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2021","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Witness or Victim identification of Suspect at the scene","Mother of subject at location to ID"
"2022","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","hands free"
"2023","1","Reasonable Suspicion","41063","25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063","Officer witnessed commission of a crime","male holding open container"
"2024","1","Reasonable Suspicion","66886","38301.5 VC - VIOL LOCAL ORD 38301 (I) 66886","Matched suspect description","5150 HOLD"
"2025","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Equipment Violation","EXP REG"
"2026","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2027","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","MAX SPEED 65 MPH"
"2028","1","Knowledge of outstanding arrest warrant/wanted person","","","","warrant"
"2029","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","hands free"
"2030","1","Reasonable Suspicion","66347","22951 VC - PARK LOT ST/ALLEY PARKING (I) 66347","Matched suspect description","RADIO CALL VEHICLE BLOCKING A DRIVEWAY"
"2030","1","Reasonable Suspicion","66347","22951 VC - PARK LOT ST/ALLEY PARKING (I) 66347","Officer witnessed commission of a crime","RADIO CALL VEHICLE BLOCKING A DRIVEWAY"
"2031","1","Reasonable Suspicion","13174","243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174","Officer witnessed commission of a crime","radio call"
"2032","1","Traffic Violation","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880","Equipment Violation","license plate cover"
"2033","1","Traffic Violation","66530","26450 VC - REQ BRAKE SYSTEMS VIOL (I) 66530","Equipment Violation","rear brake light was faulty"
"2034","1","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","Violated living terms"
"2035","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2036","1","Traffic Violation","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880","Non-moving Violation, including Registration Violation","NO REAR PLATE"
"2037","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","hands free"
"2038","1","Reasonable Suspicion","64005","647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005","Matched suspect description","subject was reported to be drunk and refusing to leave."
"2039","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2040","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","MAX SPEED 65 MPH"
"2041","1","Knowledge of outstanding arrest warrant/wanted person","","","","recognized subj to have warrants"
"2042","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Non-moving Violation, including Registration Violation","expired registration"
"2043","1","Reasonable Suspicion","48122","148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122","Other Reasonable Suspicion of a crime","walked toward officer with aggresive stance and refused orders to back away to a safe distance"
"2044","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","hands free"
"2045","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","speed over 65"
"2046","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","STOP SIGN"
"2047","1","Reasonable Suspicion","32102","602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102","Witness or Victim identification of Suspect at the scene","SUBJECT ENTERED BUSINESS AND REFUSED TO LEAVE"
"2048","1","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","possession of pipe"
"2048","2","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","possession of pipe"
"2049","1","Reasonable Suspicion","32100","602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100","Witness or Victim identification of Suspect at the scene","Radio call for trespass on MTS Train Tracks"
"2049","1","Reasonable Suspicion","32100","602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100","Officer witnessed commission of a crime","Radio call for trespass on MTS Train Tracks"
"2050","1","Reasonable Suspicion","35440","11362.4(C) HS - SMOKE/POSS MARIJ SCHL/YTH (I) 35440","Officer witnessed commission of a crime","Smoking marijuana at park."
"2050","2","Known to be on Parole / Probation / PRCS / Mandatory Supervision","","","","subject is on probation"
"2051","1","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","narcotic paraphernalia"
"2051","2","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","inside of tent with paraphernalia"
"2052","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","TEXTING"
"2053","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","EXPIRED REGISTRATION"
"2054","1","Reasonable Suspicion","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136","Matched suspect description","Subject matched description of a female seen waving a machete."
"2054","1","Reasonable Suspicion","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136","Witness or Victim identification of Suspect at the scene","Subject matched description of a female seen waving a machete."
"2055","1","Traffic Violation","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146","Moving Violation","SIGN VIOLATION"
"2056","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","TEXTING"
"2057","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","TEXTING"
"2058","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","TEXTING"
"2059","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","EXP REG"
"2060","1","Reasonable Suspicion","29050","10852 VC - TAMPER WITH VEHICLE (M) 29050","Matched suspect description","susp was subject to radio call of someone breaking into a trailer"
"2061","1","Reasonable Suspicion","50106","166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106","Witness or Victim identification of Suspect at the scene","male violated restraining order by throwing eggs at the protected person"
"2062","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","subj did not stop for red light."
"2063","1","Reasonable Suspicion","3","00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3","Matched suspect description","misdemeanor warrant"
"2064","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","RED LIGHT"
"2065","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","Speed"
"2066","1","Reasonable Suspicion","52136","417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136","Matched suspect description","417 suspect"
"2067","1","Knowledge of outstanding arrest warrant/wanted person","","","","The subject was reported to have been a located missing person."
"2068","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","Expired REg"
"2069","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","MOBILE DEVICE"
"2070","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","CELL PHONE"
"2071","1","Reasonable Suspicion","99990","NA - XX AA - COMMUNITY CARETAKING (X) 99990","Matched suspect description","Person down"
"2072","1","Traffic Violation","54566","23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566","Moving Violation","Cell Phone"
"2073","1","Reasonable Suspicion","66210","640(D)(3) PC - URINATE/ETC:PUB TRANSIT (M) 66210","Officer witnessed commission of a crime","urinating on sidewalk"
"2074","1","Traffic Violation","54144","24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144","Equipment Violation","brake lights"
"2075","1","Reasonable Suspicion","50103","166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103","Witness or Victim identification of Suspect at the scene","VIOLATE RESTRAINING ORDER"
"2075","1","Reasonable Suspicion","50103","166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103","Matched suspect description","VIOLATE RESTRAINING ORDER"
"2076","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","traffic"
"2077","1","Traffic Violation","54552","21700 VC - OBST DRIVER VIEW/CONTROL (I) 54552","Moving Violation","traffic"
"2078","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","traffic"
"2079","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","DRIV HAD EXP TABS"
"2080","1","Traffic Violation","54107","12500(A) VC - DRIVE W/O LICENSE (M) 54107","Moving Violation","traffic"
"2081","1","Traffic Violation","66967","24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967","Equipment Violation","Subject was operating a vehicle with an inoperative right brakelight."
"2082","1","Traffic Violation","66882","38300 VC - DISOBEY SIGN/SGNL/TRF DVC (I) 66882","Moving Violation","VIOLATION SIGNS"
"2083","1","Reasonable Suspicion","65000","65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000","Other Reasonable Suspicion of a crime","violations of signs in park"
"2084","1","Traffic Violation","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146","Moving Violation","left turn violating sign"
"2085","1","Traffic Violation","54146","21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146","Moving Violation","VIOLATION SIGNS"
"2086","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2087","1","Traffic Violation","54373","21453(C) VC - FAIL STOP LINE/ETC AT RED (I) 54373","Moving Violation","RED ARROW"
"2088","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","cell phone"
"2089","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"2090","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"2091","1","Traffic Violation","54098","21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098","Moving Violation","DROVE THROUGH STOP SIGN"
"2092","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"2093","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","EXPIRED REG"
"2094","1","Traffic Violation","54613","21720 VC - POCKET BIKES PROHIB AREA (I) 54613","Moving Violation","pocket bike"
"2095","1","Reasonable Suspicion","12004","211 PC - ROBBERY (F) 12004","Witness or Victim identification of Suspect at the scene","robbery knife"
"2096","1","Traffic Violation","54395","22349(B) VC - EXC 55MPH SPEED:2 LANE RD (I) 54395","Moving Violation","over 65"
"2097","1","Reasonable Suspicion","11084","243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084","Matched suspect description","detained by cvpd for domestic violence incident"
"2098","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","Cell Phone"
"2099","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","UNDER THE INFLUENCE"
"2100","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","Cell Phone"
"2101","1","Traffic Violation","54168","5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168","Equipment Violation","no plates on veh"
"2102","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","EXPIRED REG"
"2103","1","Knowledge of outstanding arrest warrant/wanted person","","","","warrant"
"2104","1","Traffic Violation","66880","38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880","Equipment Violation","no rear license plate"
"2105","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","OPEN CONTAINER"
"2106","1","Reasonable Suspicion","12004","211 PC - ROBBERY (F) 12004","Matched suspect description","radio call of male who robbed someone at trolley"
"2107","1","Reasonable Suspicion","38080","273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080","Matched suspect description","Victim pointed out suspect"
"2107","1","Reasonable Suspicion","38080","273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080","Witness or Victim identification of Suspect at the scene","Victim pointed out suspect"
"2108","1","Traffic Violation","54178","21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178","Moving Violation","Drove into oncoming traffic"
"2109","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","EXPIRED REG T STOP"
"2110","1","Traffic Violation","54167","22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167","Moving Violation","FAILURE TO STOP AT STOP SIGN"
"2111","1","Reasonable Suspicion","65002","65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002","Officer witnessed commission of a crime","open container in public"
"2112","1","Knowledge of outstanding arrest warrant/wanted person","","","","warrant"
"2113","1","Traffic Violation","54657","4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657","Non-moving Violation, including Registration Violation","2022 tabs"
"2114","1","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","Subject had narcotics paraphernalia in plain view."
"2115","1","Reasonable Suspicion","35349","11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349","Actions indicative of drug transaction","loiter for narc"
"2115","2","Reasonable Suspicion","35349","11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349","Actions indicative of drug transaction","loiter for narc"
"2116","1","Reasonable Suspicion","35423","11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423","Officer witnessed commission of a crime","male holding burnt tinfoil used to ingest narcotics"
"2117","1","Traffic Violation","54193","24600 VC - TAILLAMP VIOLATIONS (I) 54193","Equipment Violation","RIGHT TAIL LIGHT OUT"
"2118","1","Reasonable Suspicion","29072","594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (F) 29072","Witness or Victim identification of Suspect at the scene","Suspect damaged property merchnadise"
"2119","1","Traffic Violation","54303","22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303","Moving Violation","SPEEDING"
"2120","1","Reasonable Suspicion","35349","11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349","Officer witnessed commission of a crime","loiter for narc"
"2120","2","Reasonable Suspicion","35349","11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349","Officer witnessed commission of a crime","loiter for narc"
"2121","1","Traffic Violation","54099","4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099","Non-moving Violation, including Registration Violation","exp reg"
"2122","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
"2123","1","Traffic Violation","54655","23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655","Moving Violation","CELL PHONE"
"2124","1","Traffic Violation","54106","22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106","Moving Violation","speed"
